language_id,anime_id,language_name
90,333,Japanese
90,334,Japanese
90,335,Japanese
90,336,Japanese
90,337,Japanese
90,338,Japanese
90,339,Japanese
90,340,Japanese
90,341,Japanese
90,342,Japanese
90,343,Japanese
90,344,Japanese
90,345,Japanese
90,346,Japanese
90,347,Japanese
90,348,Japanese
90,349,Japanese
90,350,Japanese
90,351,Japanese
90,352,Japanese
90,353,Japanese
90,354,Japanese
90,355,Japanese
90,356,Japanese
90,357,Japanese
90,358,Japanese
90,359,Japanese
90,360,Japanese
90,361,Japanese
90,362,Japanese
90,363,Japanese
90,364,Japanese
90,365,Japanese
90,367,Japanese
90,368,Japanese
90,370,Japanese
90,371,Japanese
90,372,Japanese
90,373,Japanese
90,374,Japanese
90,375,Japanese
90,376,Japanese
90,377,Japanese
90,378,Japanese
90,379,Japanese
90,380,Japanese
90,381,Japanese
90,382,Japanese
90,383,Japanese
90,384,Japanese
90,385,Japanese
90,386,Japanese
90,387,Japanese
90,388,Japanese
90,389,Japanese
90,391,Japanese
90,392,Japanese
90,393,Japanese
90,394,Japanese
90,395,Japanese
90,396,Japanese
90,397,Japanese
90,398,Japanese
90,399,Japanese
90,401,Japanese
90,402,Japanese
90,403,Japanese
90,404,Japanese
90,405,Japanese
90,406,Japanese
90,407,Japanese
90,408,Japanese
90,409,Japanese
90,410,Japanese
90,411,Japanese
90,412,Japanese
90,413,Japanese
90,414,Japanese
90,415,Japanese
90,416,Japanese
90,417,Japanese
90,418,Japanese
90,419,Japanese
90,422,Japanese
90,423,Japanese
90,424,Japanese
90,425,Japanese
90,426,Japanese
90,427,Japanese
90,428,Japanese
90,429,Japanese
90,430,Japanese
90,431,Japanese
90,432,Japanese
90,433,Japanese
90,434,Japanese
90,435,Japanese
90,436,Japanese
90,437,Japanese
90,438,Japanese
90,439,Japanese
90,440,Japanese
90,441,Japanese
90,442,Japanese
90,443,Japanese
90,444,Japanese
90,445,Japanese
90,446,Japanese
90,447,Japanese
90,448,Japanese
90,449,Japanese
93,137,Spanish
93,150,Spanish
93,171,Spanish
93,176,Spanish
93,179,Spanish
93,189,Spanish
93,199,Spanish
93,203,Spanish
93,208,Spanish
93,209,Spanish
93,214,Spanish
93,242,Spanish
93,258,Spanish
93,276,Spanish
93,280,Spanish
93,291,Spanish
93,294,Spanish
93,296,Spanish
93,300,Spanish
93,307,Spanish
93,315,Spanish
93,317,Spanish
93,327,Spanish
93,330,Spanish
93,339,Spanish
93,362,Spanish
93,393,Spanish
93,396,Spanish
93,442,Spanish
93,445,Spanish
